cycle_state,type,text,key,parent_key,pack_name,language,nb_players
False,1,"%s, je moet je glas leeg binnen 5 minuten leegdrinken",,,default,nl,1
False,1,"%s, noem iets wat je nog NOOIT gedaan hebt. Iedereen die dit wel gedaan heeft, neemt $ slokken",,,default,nl,1
False,1,Aan %s de eer om $ slokken uit te delen,,,default,nl,1
False,1,%s neemt $ slokken,,,default,nl,1
False,1,%s noemt de geboortemaand van %s of drinkt $ slokken,,,default,nl,2
False,1,%s doet een kledingstuk uit of neem $ slokken,,,default,nl,1
False,1,"%s, lik de arm van je linker buurman/vrouw of drink $ slokken",,,default,nl,1
False,1,"%s, vertel nu een grap of drink $ slokken",,,default,nl,1
False,1,Laten we toosten!,,,default,nl,0
False,1,%s drinkt $ slokken uit het glas van %s,,,default,nl,2
False,1,"%s, als je %s een beetje kent, geef hem/haar dan een zoen of drink $ slokken",,,default,nl,2
False,1,"%s, als je %s een beetje kent, lik dan zijn/haar wang of drink $ slokken",,,default,nl,2
False,1,"%s, of je geeft een zoen aan %s of hij/zij drinkt $ slokken",,,default,nl,2
False,1,"%s, geef antwoord op door %s gekozen taboevraag, of je bent een doetje en drinkt je glas leeg",,,default,nl,2
False,1,"%s, daag iemand uit voor een potje duimworstelen, de verliezer moet zelf $ slokken nemen.",,,default,nl,1
False,1,"%s en %s kijken elkaar in de ogen, de eerste die knippert neemt $ slokken",,,default,nl,2
False,1,%s noemt het aantal slokken die %s nu moet nemen,,,default,nl,2
False,1,"De speler die het laatste opstaat, moet $ slokken nemen",,,default,nl,0
False,1,"%s, geef $ slokken aan %s of $ slokken aan %s",,,default,nl,3
False,1,"%s beslis nu: of %s geeft $ slokken weg, of %s geeft $ slokken weg",,,default,nl,3
False,1,%s neemt $ slokken en geeft er $ weg,,,default,nl,1
False,1,"%s, de eerste die jou nu in je ogen kijkt, neemt $ slokken",,,default,nl,1
False,1,"Degene die als eerste 2 kledingstukken uittrekt, mag $ slokken uitdelen",,,default,nl,0
False,1,De eerste die zijn eigen elleboog likt mag 100 slokken uitdelen,,,default,nl,0
False,1,"%s en %s, beslis samen wie jullie $ slokken willen geven",,,default,nl,3
False,1,"%s, laat nu de laatste 5 foto's in je mobiel zien of neem $ slokken",,,default,nl,1
False,1,%s je hebt de keus: of je geeft %s 2 minuten toegang tot jouw Instagram of je drinkt je glas leeg,,,default,nl,2
False,1,"Een duel tussen %s en %s, degene met de grootste handen moet $ slokken nemen",,,default,nl,2
False,1,Zonder handen! %s drink een slok zonder je handen te gebruiken,,,default,nl,1
False,1,%s Vertel een goed verhaal wat niemand weet over iemand of drink $ slokken,,,default,nl,1
False,1,Handen omhoog! Degene die dit nu het laatst doet drinkt $ slokken,,,default,nl,0
False,1,Fuck die phone! Degene die als eerste op z'n telefoon kijkt moet 10 slokken nemen,,,default,nl,0
False,1,"%s, drink zoveel slokken als je wilt! %s moet nu lekker het dubbele aantal drinken",,,default,nl,2
False,1,Truth or Dare: %s kies een Truth or Dare voor %s,,,default,nl,2
False,1,"Banden smeden! %s en %s, geef elkaar een boks die je je hele leven samen doet",,,default,nl,2
False,1,"Iedereen die met z'n tong z'n neus kan aanraken, mag $ slokken uitdelen",,,default,nl,0
False,1,Alle singles mogen nu iemand $ slokken laten drinken,,,default,nl,0
False,1,Iedereen met een partner mag nu iemand kiezen die $ slokken moet nemen,,,default,nl,0
False,1,%s geeft een zoen op de billen van %s of drink $ slokken,,,default,nl,2
False,1,"De eerste die een condoom tevoorschijn haalt, mag iemand $ slokken geven",,,default,nl,0
False,1,De laatste die nu z'n voeten optilt moet $ slokken nemen,,,default,nl,0
False,1,"%s, noem een accessoire (riem, ring, bril.....). Degenen die dit dragen, moeten $ slokken nemen",,,default,nl,1
False,1,Fotoshot! %s en %s moeten nu al scheelkijkend samen een selfie maken,,,default,nl,2
False,1,%s doet softdrink of alcohol in het glas van %s,,,default,nl,2
False,1,"%s en %s, neem samen $ slokken",,,default,nl,2
False,1,"Gooi om de beurt wat extra alcohol in je drankje, %s begint",,,default,nl,1
False,1,Tikkertje! Degene die aangetikt wordt moet een slok drinken. %s mag beginnen iemand aan te tikken!,,,default,nl,1
False,1,Degene die een pakje sigaretten hebben moeten net zoveel slokken drinken als ze sigaretten hebben (max 8).,,,default,nl,0
False,1,"%s, doe nu drie vette danspasjes of drink $ slokken",,,default,nl,1
False,1,"%s, zeg nu hoe oud %s is of drink $ slokken",,,default,nl,2
False,1,"%s, noem nu het sterrenbeeld van %s of drink $ slokken",,,default,nl,2
False,1,"%s, doe je ogen dicht en noem de kleur ogen van %s of drink $ slokken",,,default,nl,2
False,1,"%s, sluit je ogen en geef nu de kleur schoenen van %s of drink $ slokken",,,default,nl,2
False,1,"%s, jij hebt 3 seconden om het aantal mensen in de kamer op te noemen (getal). Als je het fout doet, moet je $ slokken nemen",,,default,nl,1
False,1,"%s, noem de lievelingskleur van %s of neem $ slokken",,,default,nl,2
False,1,De volgende die lacht moet $ slokken nemen,,,default,nl,0
False,1,De spelers die niet met hun handen de grond aan kunnen raken (rechtop met gestrekte benen) moet $ slokken nemen,,,default,nl,0
False,1,De eerste speler die de voeten van %s aanraakt mag $ slokken uitdelen,,,default,nl,1
False,1,"%s, als je 5 minuten je mond houdt, mag jij iemand kiezen die z'n hele glas moet adten",,,default,nl,1
False,1,%s moet 1 minuut non-stop glimlachen. Elke keer dat je in de lach schiet moet je $ slokken nemen,,,default,nl,1
False,1,"%s, je moet 5 seconden tapdansen of $ slokken nemen",,,default,nl,1
False,1,"De eerste speler die nu een gezegde zegt, mag $ slokken uitdelen",,,default,nl,0
False,1,"%s, doe een andere speler na. Wie het eerste raadt wie jij nadoet mag $ slokken uitdelen",,,default,nl,1
False,1,"%s, doet iets wat %s hem/haar opdraagt. Als je het weigert, dan moet je $ slokken nemen",,,default,nl,2
False,1,"%s, laat %s een snapchat met jou telefoon sturen of anders moet je $ slokken nemen",,,default,nl,2
False,1,"De eerste die een berichtje naar iemand van z'n familie stuurt, mag $ slokken uitdelen",,,default,nl,0
False,1,De volgende speler die moet drinken mag dan ook $ slokken uitdelen,,,default,nl,0
False,1,Rook je nu op dit moment? Dan neem je $ slokken!,,,default,nl,0
False,1,%s doet nu 6 squats en drinkt een slokje tussen elke!,,,default,nl,1
False,1,%s loopt een rondje langs alle spelers en geeft een tik op de rug van iedereen die 2 slokken moeten drinken!,,,default,nl,1
False,1,Iedereen moet net zoveel slokken nemen als het aantal jaren dat hij gestudeerd heeft na de middelbare school!,,,default,nl,0
False,1,%s geef net zoveel slokken weg als het aantal broers of zussen die jij hebt,,,default,nl,1
False,1,"%s, laat je door %s in je billen knijpen of neem $ slokken",,,default,nl,2
False,1,"%s, geef een goede eigenschap van elke speler en drink een slok op elke kwaliteit!",,,default,nl,1
False,1,"%s, geef een slechte eigenschap van elke speler en drink een slok op elke kwaliteit!",,,default,nl,1
False,1,"%s, adt 3x je glas of geef $ slokken weg",,,default,nl,1
False,1,%s moet $ slokken nemen terwijl %s iets in je oor fluistert,,,default,nl,2
False,1,"%s, doe 5 seconden een slang na of drink $ slokken!",,,default,nl,1
False,1,"%s, doe 5 seconden een naaktslak na of drink $ slokken!",,,default,nl,1
False,1,"%s, doe 5 seconden een schildpad na of drink $ slokken!",,,default,nl,1
False,1,%s doe iets enorm raars met je gezicht en laat %s een foto drinken. Klaar? Drink dan $ slokken!,,,default,nl,2
False,1,"Meisjes, drink net zo veel slokken als je cupmaat (A = 1, B = 2, etc.)",,,default,nl,0
False,1,"%s, geef zoveel slokken als je wilt aan %s",,,default,nl,2
False,1,"%s geeft een opdracht aan %s, als zij/hij dit accepteert, mag hij/zij $ slokken uitdelen",,,default,nl,2
False,1,"%s je moet nu een geile app sturen aan iemand gekozen door %s, of je moet $ slokken nemen",,,default,nl,2
False,1,"%s, app ""ik hou van je"" en niks erachter naar iemand gekozen door %s of drink $ slokken",,,default,nl,2
False,1,"%s, voeg nu 10 mensen toe op Instagram of neem $ slokken",,,default,nl,1
False,1,"%s, voeg iemand op Instagram toe, gekozen door %s of drink $ slokken",,,default,nl,2
False,1,"%s, zet een foto op Instagram die gemaakt is door %s of drink $ slokken",,,default,nl,2
False,1,"Wijst de klok een even uur aan, drink dan allemaal $ slokken. Zo nee? Dan mag %s $ slokken uitdelen",,,default,nl,1
False,1,"De eerste speler die ""shit ik ben m'n kat helemaal vergeten"" schreeuwt als er een veelvoud van 10 in de klok staat (20.00; 20.10; 20.20 etc), mag 10 slokken uitdelen",,,default,nl,0
False,1,Vanaf nu tot het einde van het spel mag niemand een peuk aansteken. Drink je glas in een keer leeg als je het er niet mee eens bent.,,,default,nl,0
False,1,"%s mag het volgende nummer kiezen, onderhandelen is niet mogelijk",,,default,nl,1
False,1,"%s mag het volgende nummer kiezen. Iedereen die het leuke vindt, mag $ slokken nemen",,,default,nl,1
False,1,"%s mag het volgende nummer kiezen. Als je het een kutnummer vindt, neem je $ slokken",,,default,nl,1
False,1,"%s, noem 3 namen van exen van %s of neem $ slokjes",,,default,nl,2
False,1,Alle chicks moeten net zoveel slokken nemen als dat er knappe gasten aan tafel zitten,,,default,nl,0
False,1,Alle gasten moeten net zoveel slokken nemen als dat er knappe chicks aan tafel zitten,,,default,nl,0
False,1,Drink net zoveel slokken als er lui aan tafel zitten waar je mee wilt seksen,,,default,nl,0
False,1,%s hoeveel inwoners heeft Kirgistan? Fout (je mag er 1 miljoen naast zitten) of neem $ slokken,,,default,nl,1
False,1,De charmante eigenaar van de telefoon waar je nu mee speelt mag $ slokken uitdelen,,,default,nl,0
False,1,Neem $ slokken als je jouw grote teen kunt likken,,,default,nl,0
False,1,"%s, deel $ slokken uit aan de speler die jij het slimst vindt",,,default,nl,1
False,1,"%s, deel $ slokken uit aan de speler die jij aan tafel hier het mooiste vindt",,,default,nl,1
False,1,"%s, deel $ slokken uit aan de persoon met het beste lichaam",,,default,nl,1
False,1,%s en %s moeten scissoren (steen/papier/schaar). De loser neemt $ slokken,,,default,nl,2
False,1,"Zeg wat het gekste moment van de avond was, en neem $ slokken",,,default,nl,0
False,1,"Beslis samen wie de sterkste speler is, die moet $ slokken nemen",solidman,,default,nl,0
False,1,Chuck Norris accepteert dit niet. De sterkste speler krijgt van hem nu nog $ slokken,,solidman,default,nl,0
False,1,"Hulk, je mag nu wraak nemen. Geef $ slokken weg!",,solidman,default,nl,0
False,1,"%s, maak een handstand of drink $ slokken",,,default,nl,1
False,1,"%s, noem 3 voornamen. Als 1 van die namen de 2e naam is van een andere speler mag je $ slokken uitdelen. Zo niet, neem ze dan zelf!",,,default,nl,1
False,1,"%s, als je alle voornamen van %s kent, moet die speler $ slokken nemen. Zo niet, dan neem ze zelf!",,,default,nl,2
False,1,"%s, deel net zoveel slokken uit als het aantal achternamen van de spelers die je kunt opnoemen.",,,default,nl,1
False,1,Geef je glas allemaal door naar links. %s moet $ slokken nemen voor het doorgeven.,,,default,nl,1
False,1,De speler met de hoogste geldmunt in zijn portemonnee mag kiezen om die munt weg te geven aan iemand die dan 7 slokken moet nemen of hem zelf houden en 7 slokken nemen.,,,default,nl,0
False,1,"%s, als het je lukt om een ijsklontje (zonder forceren) in een andere speler zijn glas te gooien voor het einde van het spel moet die speler zijn glas adten.",,,default,nl,1
False,1,"%s, als het je lukt om een andere speler een slokje van jouw drinken te laten nemen voor het einde van het spel moet die speler zijn glas adten.",,,default,nl,1
False,1,"%s, kies iemand die $ slokken uit jouw glas moet nemen",,,default,nl,1
False,1,"%s, kies iemand die $ slokken uit het glas van %s moet nemen",,,default,nl,2
False,1,"%s, jij mag kiezen tussen %s en %s. Wie je kiest moet $ slokken drinken uit jouw glas (jij houdt het vast)",,,default,nl,3
False,1,"%s, jij deelt een slok uit aan wie jij wil of %s neemt $ slokken",,,default,nl,2
False,1,"Alle roodharigen nemen nu wraak, kies iemand die zijn glas moet adten",,,default,nl,0
False,1,Gasten met een kaal hoofd en meisjes met heel kort haar nemen nu wraak en iemand kiezen die zijn glas moet adten,,,default,nl,0
False,1,"%s, deel net zoveel slokken uit als het aantal zwarte kledingstukken die je aan hebt.",,,default,nl,1
False,1,"%s, deel net zoveel slokken uit als het aantal witte kledingstukken die je aan hebt.",,,default,nl,1
